epoch,train_loss,train_acc,test_acc,test_loss,outlier_w>150,outlier_w_top2%,outlier_no>150,outlier_no_top2%,epoch_time_sec,peak_mem_MB,lr
1,1.8529483612442017,0.31254,0.4245,1.568730877494812,0.0,0.020013427734375,0.0,0.02002105712890625,28.4315288066864,1300.09912109375,5.9999999999999995e-05
2,1.523363360748291,0.44418,0.5317,1.3229394805908203,0.0,0.02003173828125,0.0,0.02003021240234375,28.01446843147278,1300.09912109375,0.00011999999999999999
3,1.3771746200942994,0.50348,0.5602,1.2286842382431031,0.0,0.02003021240234375,0.0,0.0200286865234375,27.767028331756592,1300.09912109375,0.00017999999999999998
4,1.2896991847229005,0.5359,0.5834,1.163762233734131,0.0,0.02003021240234375,0.0,0.02003173828125,27.806634187698364,1300.09912109375,0.00023999999999999998
5,1.2309833742523193,0.55724,0.6085,1.090862487411499,0.0,0.02003173828125,0.0,0.02003021240234375,28.03379774093628,1300.09912109375,0.0003
6,1.1705550441741943,0.5822,0.623,1.0565596662521362,0.0,0.02003021240234375,0.0,0.02003021240234375,28.36191201210022,1300.09912109375,0.0002999179886011389
7,1.1308540866470338,0.59276,0.6278,1.0315661598205565,0.0,0.02003173828125,0.0,0.02003021240234375,28.171115398406982,1300.09912109375,0.00029967204408281613
8,1.0863408435249329,0.6127,0.6403,1.00352601852417,0.0,0.02003173828125,0.0,0.02003173828125,28.015060901641846,1300.09912109375,0.0002992624353817517
9,1.0507082684326172,0.6242,0.6662,0.9312856470108032,0.0,0.02003021240234375,0.0,0.02003173828125,28.171608209609985,1300.09912109375,0.00029868961039904624
10,1.0236132125091553,0.63464,0.6773,0.9008956357955933,0.0,0.02003021240234375,0.0,0.02003173828125,28.53337287902832,1300.09912109375,0.00029795419551040833
11,0.9974863914489747,0.64552,0.6881,0.8868687780380249,0.0,0.02003173828125,0.0,0.02003173828125,28.031412839889526,1300.09912109375,0.0002970569948812214
12,0.9686314210891723,0.6558,0.6973,0.8521156803131104,0.0,0.02003173828125,0.0,0.02003021240234375,27.978070735931396,1300.09912109375,0.0002959989895872009
13,0.9416389781951904,0.6632,0.7013,0.845759264087677,0.0,0.02003173828125,0.0,0.02003173828125,27.839513301849365,1300.09912109375,0.0002947813365416023
14,0.9186116014289856,0.6749,0.7057,0.8349771935462952,0.0,0.02003021240234375,0.0,0.02003173828125,28.148765087127686,1300.09912109375,0.0002934053672301536
15,0.8952151342391967,0.68134,0.7019,0.8461937357902527,0.0,0.02003173828125,0.0,0.02003173828125,28.656687021255493,1300.09912109375,0.00029187258625509513
16,0.864274660167694,0.69256,0.712,0.8198203686714173,0.0,0.02003021240234375,0.0,0.02003173828125,27.934536933898926,1300.09912109375,0.0002901846696899191
17,0.8451131351470947,0.7002,0.7297,0.7838087865829467,0.0,0.02003173828125,0.0,0.02003021240234375,28.012661457061768,1300.09912109375,0.0002883434632466077
18,0.8272335810470581,0.70648,0.7275,0.7877535202980042,0.0,0.02003021240234375,0.0,0.02003173828125,27.985458374023438,1300.09912109375,0.00028635098025737434
19,0.8052890214920044,0.71352,0.7325,0.7761431893348694,0.0,0.02003173828125,0.0,0.02003021240234375,28.20270037651062,1300.09912109375,0.0002842093994731145
20,0.7877246011734009,0.72046,0.7452,0.7316372016906738,0.0,0.02003173828125,0.0,0.02003173828125,27.765784740447998,1300.09912109375,0.00028192106268097334
21,0.7669640166091919,0.72684,0.7522,0.7060280127525329,0.0,0.02003021240234375,0.0,0.02003021240234375,27.813838243484497,1300.09912109375,0.0002794884721436361
22,0.7514905505371093,0.73448,0.7663,0.6786486505508423,0.0,0.02003173828125,0.0,0.02003173828125,28.281635761260986,1300.09912109375,0.0002769142878631403
23,0.73688859998703,0.74006,0.7653,0.677302893447876,0.0,0.02003173828125,0.0,0.02003173828125,28.319504261016846,1300.09912109375,0.000274201324672203
24,0.709170892124176,0.7475,0.7595,0.7051400490760803,0.0,0.02003173828125,0.0,0.02003021240234375,28.376248836517334,1300.09912109375,0.0002713525491562421
25,0.6996889106369019,0.75194,0.7796,0.6349203395843506,0.0,0.02003173828125,0.0,0.02003173828125,28.656344890594482,1300.09912109375,0.00026837107640945905
26,0.6772230692100525,0.76178,0.7691,0.6610625117778778,0.0,0.02003021240234375,0.0,0.02003173828125,29.193830966949463,1300.09912109375,0.00026526016662852886
27,0.6733185133552552,0.76092,0.7643,0.6869909951210021,0.0,0.02003173828125,0.0,0.02003021240234375,29.121509075164795,1300.09912109375,0.0002620232215476231
28,0.6606191645812989,0.76684,0.7745,0.6437078686714173,0.0,0.02003021240234375,0.0,0.02003173828125,28.601581811904907,1300.09912109375,0.00025866378071866334
29,0.646488689365387,0.76976,0.782,0.6367262265205383,0.0,0.02003173828125,0.0,0.02003173828125,27.76117491722107,1300.09912109375,0.00025518551764087326
30,0.6344263743209839,0.77534,0.7902,0.6156834978103638,0.0,0.02003173828125,0.0,0.02003173828125,28.279863119125366,1300.09912109375,0.00025159223574386114
