PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,class,class_name
-10.875348,-0.66755384,-2.9052556,2.533886,0.14208631,-0.63021994,4.959906,-4.0767097,-1.069188,1.0372742,0.071091235,-2.7783277,-0.23377082,2.1204042,1.5675948,0.5259953,-0.17584302,-0.21072386,-2.0136228,0.52782583,1.4408109,0.5645527,-1.3496411,-0.038852982,-0.49519435,-0.9132099,1.5248154,-2.3329806,-1.4410765,-2.3392172,2.2645493,1.7710022,-0.03458435,1.288954,0.30605668,0.28741452,0.24973436,-1.7469008,-0.6271155,-0.15954292,1.5653034,-0.5360019,-2.2780473,-0.024377149,-1.0483692,-0.20492171,-0.9659508,-0.28733024,0.59874177,0.35511962,0,Airplane
4.323792,0.68647796,4.6135435,-4.5480027,1.5672992,3.4288442,-0.30410624,0.9507723,0.96288216,2.7999327,2.5282311,1.412537,1.5296353,-0.6757318,-1.9454165,1.6813743,-3.1872706,-0.62136,-2.390263,0.37713677,0.9064131,-0.67960393,-1.0426564,0.3886294,-1.779573,2.1808312,0.42827377,-0.41088417,0.93163806,0.1545186,1.0468541,-1.0452299,-0.95047593,1.9124635,-0.4721598,-0.06654582,-1.3463789,0.8935409,-0.31185728,-1.6760426,0.009182428,-1.4108362,1.6563536,0.93650365,1.6499972,-1.4807467,-0.72707474,-0.035127494,0.6220339,-0.54922223,9,Truck
-4.5094213,3.3262374,3.2462382,2.8184645,-1.28792,1.4718693,-3.4911299,0.33684838,-0.62510306,1.1253184,3.616419,0.29930118,-2.6588442,-4.9975095,0.3398369,1.0884595,0.41207674,-0.62538624,1.6437047,0.70294255,2.7072191,-2.4158893,0.65093166,0.22039315,-2.8302174,0.3861546,0.3618304,0.3270353,1.6496105,-0.066283874,-0.6489016,-1.8451743,-0.51734704,2.3634272,-0.7243049,-0.73361665,-0.17043707,2.7106247,0.7487683,0.012248195,-0.30787584,0.84952676,0.22524954,1.8941227,-0.0049571735,0.66684985,0.46719778,-1.826281,0.87308073,-1.4140383,5,Dog
3.6352034,7.070077,4.382235,0.44310364,-5.4970093,-2.7711046,-6.014528,1.6122824,-1.3429178,0.70983076,0.7923205,-1.1216376,2.21366,0.22736835,-1.5771856,-0.9246357,0.40322414,-4.33528,2.2632887,-4.2608404,0.36577946,-0.53558415,3.545136,0.13257912,-1.4527013,1.5100976,0.66977054,1.6941686,-2.147676,1.3880599,1.6183838,-1.9763678,-1.0179162,2.3093266,-0.60602045,-1.0504494,0.54751676,-1.0844591,-1.4624844,-1.8421259,1.2784274,-0.3974703,1.9130384,-0.5266455,-0.21085578,-1.6865629,0.23631155,-0.5388096,-0.32624945,-1.4695128,7,Horse
-3.6312022,3.325798,2.2146068,0.9262145,1.0839341,4.116474,0.23055735,2.3058856,-3.0588706,3.0735471,-0.18614988,4.430556,-0.38092545,-2.7136858,0.016363593,2.4043455,1.1453816,0.9764788,-0.7670565,-0.29504263,0.7267466,-0.37763923,-1.5597721,1.8679577,1.6649815,-0.68561846,-1.460343,0.13950604,1.3655343,-0.9671856,1.6651762,0.21268271,1.5602382,1.0172671,0.45284894,0.535663,0.14148982,1.3022492,-0.06231731,-3.5542336,-0.30665782,-0.56350356,-1.9836241,-0.28558433,2.0148828,-0.08960787,-1.3917853,2.5643723,-1.911275,-1.5408157,9,Truck
-2.8729079,-0.043084167,2.8832629,-4.5343676,1.6090531,3.2847574,1.6147311,1.7638421,-1.6963825,1.1893016,0.98226947,2.9911275,4.57576,-1.2566217,-2.00639,-1.2450303,0.25355223,0.011867463,-1.0300027,-1.4742075,-0.99632186,-0.6769543,0.5853266,-0.31073755,-1.0280261,0.807854,0.39490563,-1.2293794,0.5111368,0.48559293,-1.3248496,-0.0107208835,0.85497195,1.7055174,0.162324,-1.1235455,-0.41811058,0.29637572,0.63260627,-1.3265272,1.780974,2.850711,-1.1928694,-0.51302,0.4749154,0.31976506,1.4909608,-0.5018602,-1.5431828,-0.4026746,8,Ship
3.0998058,8.190723,4.1856756,-0.17432855,-5.3850307,-4.119261,-0.8413532,-1.0141476,-0.3763684,0.081590764,3.3576772,0.009229642,-1.8884351,-4.188294,-2.406041,0.63520145,-0.93327165,-1.2526078,0.17060307,-2.4941425,0.8183556,2.2987876,0.8506927,-0.04608037,1.1033487,-0.9073792,-0.5846999,1.8042691,-0.5423921,-1.348555,2.3694787,-0.028580673,-1.0030272,-1.4828255,0.6702234,-0.1313056,-2.2980764,-1.4692038,1.3668996,0.71827066,0.5881799,-0.6732934,0.20699212,0.95199937,0.19353878,0.10541457,-0.39533207,-1.2074857,0.6395707,0.56013936,5,Dog
-2.3676212,5.49217,6.6339593,0.38809925,5.2833204,-4.8693786,0.642671,-4.324423,-1.9751393,0.75985116,0.412792,-1.9617418,-0.20288332,-3.1312246,0.5281065,-1.2440406,-2.3346732,-0.2925898,-0.5239797,-1.3870474,1.3736362,-0.6779724,-3.0947654,0.9190366,-1.6251537,0.4815093,0.43890503,3.4974518,0.7352301,-0.44985035,0.05282454,1.4058126,-0.2914217,0.10839508,-0.19043542,-0.59371984,-0.6427171,-1.3865682,-0.77849936,1.0608926,-0.72268283,-1.5271399,-0.84868264,-0.945671,0.37100157,-1.5361701,0.29333478,-0.48067108,1.2867674,0.28670195,7,Horse
16.013983,-20.557835,-2.464696,0.63591427,3.7834125,4.8992515,-3.0639997,-1.6405983,-3.0490136,-10.1932535,2.7261355,0.39177403,0.043259148,1.8151597,-1.6493584,-2.8247237,-0.956307,0.58132344,0.57429516,-3.8536909,-1.875569,-2.7999837,-0.18918218,2.6272147,-0.056016486,-2.8497727,3.3009112,0.0013045368,-1.0453683,-0.5020985,-1.2159637,0.7921109,-0.7898076,-1.5429578,-0.23724604,-1.8239752,-0.94799906,-0.56548434,-0.47545877,-0.56802523,1.2983754,0.7254221,2.1065016,-0.33099684,-0.52273643,0.4906624,2.141494,2.2895167,-0.22886196,0.92012525,8,Ship
-1.6072812,9.934489,-8.110223,1.0816469,3.0550306,1.9754275,-6.9155145,-0.55534184,-1.443214,-0.32729664,-0.6146974,-4.7047186,1.938322,-1.9827074,-2.9322896,1.4558667,2.382768,0.50402546,-1.10982,3.445839,0.009351154,3.0193036,1.355437,-2.6909952,-2.9912214,3.4699302,0.19340397,-1.0267324,-1.0223823,-0.0046236846,0.9291353,0.31993952,-0.29202992,-0.7501224,2.011263,1.0889561,-1.5071583,-1.0314169,-1.2037381,-1.0136036,1.3273405,-1.3877653,-1.9102052,0.55863845,0.9608612,-2.996341,1.2794614,-0.19215527,0.9773612,1.1544541,6,Frog
6.4730177,9.378898,1.532369,-2.98893,-2.8182442,9.181458,-3.4420018,-1.0752568,0.2637874,7.616584,0.91792446,-3.1309729,1.054954,2.8507242,0.7867763,1.3461258,3.3316748,-3.2286942,-0.3296808,-0.24531664,0.6176911,0.60862815,0.97218233,3.0782094,-2.7467763,-0.6980909,0.5986195,0.5829365,-0.6022508,-1.4510372,1.2180334,-0.9369027,0.08293658,-1.2583455,0.54792136,3.9540534,0.8414104,-0.6473398,3.9359725,2.104031,0.12937757,-1.47706,-1.5441653,0.35608774,2.0607207,-0.85459316,1.1991737,0.7998383,-0.1275578,2.1290822,7,Horse
13.824406,-2.61763,-12.215116,4.8402185,-1.1667858,-11.099296,-2.4193382,-6.4797645,-0.50488603,5.348096,-4.671852,-4.181332,-1.4178554,-4.408056,1.0815213,5.280386,1.9441398,1.2801808,-1.4270676,-0.94863003,0.38351092,7.0351706,3.363727,0.18150005,-2.0143607,0.6236237,-3.0667715,0.8110767,2.5370555,-1.1514013,-1.353411,2.6435258,0.98842055,1.7399079,-1.5759019,0.18397634,-3.5887346,3.855527,1.0022551,-0.36457917,-0.942593,6.281272,0.8024093,1.8701104,-1.8612288,-2.3972223,-1.754994,2.6884234,0.5938229,-0.666188,0,Airplane
-12.648034,-7.1270447,-2.9884803,2.3487556,-3.0345037,-0.38580787,-0.7873161,2.1164987,2.8579931,3.000784,-3.4606771,1.8544245,-0.6919688,2.0075212,1.4332471,-0.18745668,-0.1725313,-0.58028716,-1.971697,-0.106510915,2.0054936,-0.052686565,-0.47935793,0.24139537,-0.40441746,0.9759529,2.824398,1.8748815,-0.4257163,2.3252947,-2.098563,1.2234086,-1.4414583,-0.95576864,-0.66019833,0.72777534,0.1632003,-3.406293,0.41235596,-1.8819847,-1.0424093,1.3035388,1.9516454,0.0021201943,-0.9403769,-1.2183543,-0.52270603,-0.785251,-2.2076614,-1.934845,4,Deer
9.520738,2.7211814,4.2843847,7.6470037,4.28201,5.1285105,2.3700902,6.4352593,2.7713978,-2.4922225,-6.375162,-9.000954,0.045316648,1.1077358,-1.5701071,4.3840756,-2.7933831,0.15659751,5.0114145,3.1839316,-0.014219121,-0.76946497,-4.8005123,5.534515,-1.2310674,1.73496,-2.5802252,-0.9574892,-2.0270684,2.6300516,-1.0624478,3.5298243,-2.217383,-0.4972314,0.9805719,2.5367665,-1.7587396,-3.5715866,1.8778056,0.4718249,3.4618173,0.2450884,-0.2549642,0.53265774,0.17287731,0.2362787,0.11420116,0.30288646,-0.5011187,-0.95430344,9,Truck
